Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
All Races,Hawaiian/Other,0.7716363636363637,0.2997194743835819,0.8784076157507572,0.44693967415235586,"[[14946  4743]
 [  281  2030]]",2.0
White Only,White,0.6976363636363636,0.34401011484564326,0.884584123543755,0.49537247762099834,"[[12083  6226]
 [  426  3265]]",2.0
All Races,White,0.7106818181818182,0.3544524276072284,0.8821457599566513,0.5057078512075793,"[[12379  5930]
 [  435  3256]]",2.0
White Only,American Indian,0.9476818181818182,0.92776886035313,0.521425349571493,0.667629223216864,"[[19693    90]
 [ 1061  1156]]",4.0
All Races,American Indian,0.9462272727272727,0.8964723926380368,0.5272891294542175,0.6640159045725648,"[[19648   135]
 [ 1048  1169]]",4.0
White Only,Asian,0.9639545454545455,0.9860426929392446,0.6074860900354072,0.7517996870109546,"[[20006    17]
 [  776  1201]]",4.0
All Races,Asian,0.9635454545454546,0.9741727199354318,0.6105209914011128,0.7506218905472638,"[[19991    32]
 [  770  1207]]",4.0
White Only,Black,0.9566363636363636,0.9832275611967362,0.7028515878159429,0.8197278911564626,"[[18877    37]
 [  917  2169]]",4.0
All Races,Black,0.9557727272727272,0.9756866276452049,0.702203499675956,0.8166572451479178,"[[18860    54]
 [  919  2167]]",4.0
White Only,Hawaiian/Other,0.9629090909090909,0.9728020240354206,0.6655127650367806,0.790339157245632,"[[19646    43]
 [  773  1538]]",4.0
All Races,Hawaiian/Other,0.9620909090909091,0.9578425294482331,0.6685417568152315,0.7874617737003058,"[[19621    68]
 [  766  1545]]",4.0
White Only,White,0.9242272727272727,0.9554455445544554,0.5751828772690328,0.7180788094030103,"[[18210    99]
 [ 1568  2123]]",4.0
All Races,White,0.922,0.930658525948539,0.5781630994310485,0.7132352941176472,"[[18150   159]
 [ 1557  2134]]",4.0
White Only,American Indian,0.9042272727272728,0.5203703703703704,0.6337392873252142,0.5714866788692291,"[[18488  1295]
 [  812  1405]]",5.0
All Races,American Indian,0.8893636363636364,0.46547884187082406,0.6599007668019846,0.5458955223880597,"[[18103  1680]
 [  754  1463]]",5.0
White Only,Asian,0.9065,0.48566308243727596,0.6853818917551846,0.5684917138661632,"[[18588  1435]
 [  622  1355]]",5.0
